date,event,category,description,expected_impact
1990-08-02,Iraqi Invasion of Kuwait,Conflict,"Iraq invaded Kuwait triggering the Gulf War, disrupting oil supply from the region",Price increase
1991-01-17,Gulf War Begins (Operation Desert Storm),Conflict,"US-led coalition launched military operations against Iraq, causing oil supply uncertainty",Price spike then decline
1997-07-02,Asian Financial Crisis,Economic,"Thai baht collapsed triggering a region-wide financial crisis that reduced Asian oil demand sharply",Price decrease
1998-12-01,OPEC Production Cuts (1998),OPEC,"OPEC agreed to significant production cuts to stabilise collapsing oil prices below $10/barrel",Price increase
2001-09-11,September 11 Attacks,Conflict,"Terrorist attacks in the US caused global economic uncertainty and initial demand shock",Price decrease
2003-03-20,US Invasion of Iraq,Conflict,"US-led coalition invaded Iraq removing a major oil producer from full capacity",Price increase
2008-07-11,Global Oil Price Peak,Economic,"Oil prices hit all-time high near $147/barrel driven by speculation and strong global demand",Price peak
2008-09-15,Lehman Brothers Collapse / Global Financial Crisis,Economic,"Lehman Brothers filed for bankruptcy triggering the worst financial crisis since the Great Depression; oil demand collapsed",Price crash
2011-02-17,Libyan Civil War,Conflict,"Uprising against Gaddafi regime disrupted Libyan oil production (~1.6 million barrels/day lost)",Price increase
2014-06-01,Oil Price Crash (US Shale Boom + OPEC Strategy),OPEC,"OPEC decided not to cut production despite US shale oil boom flooding the market with supply",Price crash
2015-07-14,Iran Nuclear Deal (JCPOA),Political,"Iran nuclear agreement reached lifting sanctions and allowing Iranian oil back into global markets",Price decrease
2016-11-30,OPEC-Russia Production Cut Agreement (OPEC+),OPEC,"Historic OPEC and non-OPEC agreement to cut production by 1.8 million barrels/day",Price increase
2018-05-08,US Withdrawal from Iran Nuclear Deal,Political,"US reimposed sanctions on Iran removing ~1.5 million barrels/day from global supply",Price increase
2020-03-06,Saudi-Russia Oil Price War,OPEC,"Saudi Arabia and Russia failed to agree on production cuts leading Saudi Arabia to flood the market",Price crash
2020-03-11,COVID-19 Pandemic Declared,Economic,"WHO declared COVID-19 a global pandemic causing unprecedented collapse in oil demand",Price crash
2020-04-12,OPEC+ Historic Production Cut (9.7 mb/d),OPEC,"OPEC+ agreed to the largest ever production cut of 9.7 million barrels/day to stabilise markets",Price recovery
2022-02-24,Russia-Ukraine War,Conflict,"Russia invaded Ukraine triggering Western sanctions and fears of Russian oil supply disruption",Price spike
2022-03-08,US Ban on Russian Oil Imports,Political,"US announced a ban on all Russian oil imports as part of sanctions over Ukraine invasion",Price spike
